bearID,sex,year,bearyear,birth,age,litterID,repro,jan,reprocat,cubsfirstcount,cubseparation,cubage,statut,weaningage,ILI,dam,sire,matlitterID,sampleID,year.sampled,C13.suess,N15,mass,headcirc,condition,Cmonth,cort,littercond,littercort
W0402,F,2003,W0402.2003,2003,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9502,V118304,W9502.2003,390,2004,-23.05,4.9,30,42,0.71,4,3.9,,
W0402,F,2003,W0402.2003,2003,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9502,V118304,W9502.2003,402,2004,-23.61,4.85,30,42,0.71,4,4.35,,
W0403,F,2003,W0403.2003,2003,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9502,V118304,W9502.2003,391,2004,-23.1,4.83,26,42,0.62,4,4.01,,
W0415,F,2003,W0415.2003,2003,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9913,W0201,W9913.2003,399,2004,-23.25,4.41,27,41,0.66,4,3.1,,
W0416,F,2003,W0416.2003,2003,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9913,W0423,W9913.2003,400,2004,-23.23,4.35,25,45,0.56,4,3.79,,
W0508,F,2004,W0508.2004,2004,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0018,NA,W0018.2004,438,2005,-23.04,4.8,17,38.5,0.44,4,7.32,,
W0513,F,2004,W0513.2004,2004,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0236,V134008,W0236.2004,442,2005,-23.01,4.98,22,40,0.55,4,5.42,,
W0504,F,2004,W0504.2004,2004,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0326,W9301,W0326.2004,884,2005,-22.56,3.76,25,41,0.61,4,6.23,,
W0507,F,2004,W0507.2004,2004,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W8906,W0230,W8906.2004,437,2005,-23.89,4.4,22,41,0.54,4,5.97,,
W0505,F,2004,W0505.2004,2004,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9101,V497311,W9101.2004,435,2005,-23.64,4.28,23.5,40,0.59,4,5.83,,
W0511,F,2004,W0511.2004,2004,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9804,W0102,W9804.2004,441,2005,-23.04,4.48,17,28,0.61,4,8.55,,
W0503,F,2004,W0503.2004,2004,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9806,W0233,W9806.2004,434,2005,-22.97,4.97,24,42,0.57,4,5.39,,
