bearID,sex,year,bearyear,birth,age,litterID,repro,jan,reprocat,cubsfirstcount,cubseparation,cubage,statut,weaningage,ILI,dam,sire,matlitterID,sampleID,year.sampled,C13.suess,N15,mass,headcirc,condition,Cmonth,cort
W0707,F,2006,W0707.2006,2006,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9814,W0327,W9814.2006,505,2007,-22.688,5.12,19,39,0.487179487,4,4.3254
W0709,F,2006,W0709.2006,2006,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0018,V184106,W0018.2006,908,2007,-23.008,5.46,25,41.5,0.602409639,4,11.65
W0712,F,2006,W0712.2006,2006,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0517,UNKNOWN07,W0517.2006,507,2007,-23.108,5.12,12,37.5,0.32,4,7.6378
W0713,F,2006,W0713.2006,2006,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0517,UNKNOWN07,W0517.2006,508,2007,-23.188,5.05,12,38,0.315789474,4,5.0898
W0806,F,2007,W0806.2007,2007,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0010,UNKNOWN15,W0010.2007,546,2008,-22.916,4.14,15,39.5,0.379746835,4,4.345
W0806,F,2008,W0806.2008,2007,1,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0010,UNKNOWN15,W0010.2007,759,2009,-23.134,3.71,26,45,0.577777778,4,15.51
W0813,F,2008,W0813.2008,2007,1,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9101,W0717,W9101.2007,765,2009,-23.614,4.13,36,43,0.837209302,4,11.15
W0814,F,2007,W0814.2007,2007,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9101,W0308,W9101.2007,553,2008,-23.146,4.69,15,37.5,0.4,4,4.6194
W0814,F,2008,W0814.2008,2007,1,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9101,W0308,W9101.2007,766,2009,-24.054,3.67,33,42,0.785714286,4,10.48
W0816,F,2007,W0816.2007,2007,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0326,UNKNOWN17,W0326.2007,555,2008,-22.516,4.63,19,40.5,0.469135802,4,4.639
W0817,F,2007,W0817.2007,2007,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0326,UNKNOWN16,W0326.2007,556,2008,-22.696,4.54,17,39,0.435897436,4,7.2948
W0818,F,2007,W0818.2007,2007,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0237,V151510,W0237.2007,557,2008,-22.726,4.15,13,35.5,0.366197183,4,8.3924
W0818,F,2008,W0818.2008,2007,1,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0237,V151510,W0237.2007,767,2009,-22.734,3.34,28,42,0.666666667,4,9.59
W0819,F,2007,W0819.2007,2007,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0237,V151510,W0237.2007,558,2008,-23.006,4.63,18,38,0.473684211,4,9.06
W0820,F,2007,W0820.2007,2007,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0237,V151510,W0237.2007,559,2008,-22.866,4.6,19,40,0.475,4,6.82
